ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,residential_change,residential_date_split,mobility_change_index,mobility_change_index_date_split
GIN,Guinea,11894.94,-46,14,17,78.7,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,"Gambia, The",12075.725,-39,3,10,78.7,NA,NA,NA,NA
GNB,Guinea-Bissau,NA,NA,NA,NA,NA,0,NA,14.895322580645162,0
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,Greece,11162.44,-1,17,26,84.26,-13.573449181652858,86,65.73501258064854,83.5
GRD,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,Greenland,8456.555,-14,2,10,77.78,NA,NA,NA,NA
GTM,Guatemala,16456.03,-53,2,35,96.3,23.087365591397848,2,56.74021584440228,2
GUF,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,Guyana,13760.425000000001,-54,16,28,87.04,NA,NA,NA,NA
HND,Honduras,16557.195,-9,5,10,100,21.652268244575936,4,61.42115382468616,4.5
HRV,Croatia,9986.21,-29,24,27,96.3,-10.094831094831095,80,79.63465104516742,107
HTI,Haiti,11584.515,-45,-1,30,93.52,0,NA,12.41670690345187,0
HUN,Hungary,10761.355,-5,8,24,76.85,-8.289614121510674,93,27.494920091960356,91
IDN,Indonesia,12326.29,-59,27,53,80.09,12.345434131736527,15,17.100456465906237,15.5
IMN,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,14660.15,-5,49,52,100,0,NA,36.98323919171468,51
IRL,Ireland,11871.994999999999,-25,26,37,90.74,0,NA,19.265642519127116,108
IRN,"Iran, Islamic Rep.",9949.03,1,29,145,64.35,NA,NA,NA,NA
IRQ,Iraq,16548.59,-5,1,31,96.3,11.756389452332657,19,13.795667308825085,19
ISL,Iceland,7982.6050000000005,-36,17,21,53.7,NA,NA,NA,NA
ISR,Israel,12815.14,-25,21,47,94.44,-9.030173292558612,83,23.863616442256532,51.5
ITA,Italy,13321.935,-8,23,72,93.52,-17.134168518892707,112,58.02965634363812,113
JAM,Jamaica,13592.800000000001,-40,2,42,87.04,0,NA,0,4
JOR,Jordan,11802.465,2,15,15,100,-11.53756157635468,94,31.765838806787084,94
JPN,Japan,7178.11,-8,NA,92,47.22,0,NA,0,82
KAZ,Kazakhstan,13658.994999999999,-1,5,17,89.35,8.038700255567726,5,15.141037989944135,32
KEN,Kenya,14330.735,-53,2,24,88.89,16.413803680981594,8,35.78965134265488,7
KGZ,Kyrgyz Republic,14437.425,-56,-1,7,92.13,-9.814103859365527,65,7.336205703403474,65
KHM,Cambodia,8306.69,40,59,73,68.52,0,NA,10.434918425872374,49
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",11194.725,11,35,77,82.41,-3.9209039548022604,106,19.512462488598338,95
KWT,Kuwait,14943.26,-32,16,76,100,0,NA,48.12115863896868,17
LAO,Lao PDR,8128.4349999999995,-13,6,6,96.3,-4.746845746845747,52,7.861755769038788,61
LBN,Lebanon,12513.005,-13,24,26,85.19,-8.513272543059777,98,31.21324094324266,86
LBR,Liberia,13182.43,-47,6,27,87.96,NA,NA,NA,NA
LBY,Libya,15684.785,-43,-2,24,100,-9.013078049801214,79,23.95866695900064,44
LCA,St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA,0,NA,12.398967741935483,12
LKA,Sri Lanka,11734.265,-1,49,60,100,-15.038485221674875,130,42.670639003654856,48
LSO,Lesotho,11922.06,-70,-56,-45,90.74,NA,NA,NA,NA
LTU,Lithuania,9170.95,-2,17,42,87.04,-11.932928064842958,91,47.93651688715787,91
LUX,Luxembourg,8458.58,5,15,17,79.63,-10.28578892371996,97,38.786189984658265,95
LVA,Latvia,9414.67,-31,12,25,65.74,-8.396149949341439,88,37.38947572701456,88
MAF,St. Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,13711.955,2,14,23,93.52,0,NA,18.36378704212302,14.5
MCO,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,13163.535,-44,3,16,87.04,-8.405708460754333,86,24.843683276230816,84
MDG,Madagascar,12074.415,-5,1,16,95.37,NA,NA,NA,NA
MDV,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,Mexico,12194.279999999999,0,25,31,82.41,16.038146167557933,20,43.672063096135346,20
MKD,North Macedonia,NA,NA,NA,NA,NA,-9.720639834881322,102,25.808438743918618,102
MLI,Mali,9342.02,-7,0,0,72.22,7.804567307692307,-1,12.435926739922577,-6
MLT,Malta,NA,NA,NA,NA,NA,-10.416071428571428,97,26.658277373085504,93
MMR,Myanmar,13205.84,-55,-1,21,86.11,0,NA,11.60045387562629,-2.5
MNE,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,13720.869999999999,-69,-18,56,90.74,-11.590808416389812,45,36.888081609605564,50
MOZ,Mozambique,10620.51,-40,10,87,80.56,11.284253578732107,-1,15.281741437257622,-1
MRT,Mauritania,10426.305,-38,5,15,77.78,NA,NA,NA,NA
MSR,Montserrat,7164.75,-54,8,24,72.22,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS,Mauritius,8291.83,0,5,8,82.41,-14.360722256035707,73,33.938519019855704,73
MWI,Malawi,10096.835,-51,-10,128,64.81,NA,NA,NA,NA
MYS,Malaysia,11649.115,-9,53,119,75,-13.915010351966874,135,27.736295056861152,106
MYT,Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,Namibia,10267.825,-13,10,34,73.15,0,NA,16.23224031436185,12
NCL,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,Niger,5851.175,-7,0,8,61.11,-7.7792806484295856,70,15.151807817594493,61
NGA,Nigeria,12704.91,-37,27,55,85.65,0,NA,6.825234318673395,24
NIC,Nicaragua,2358.335,-27,NA,27,16.67,12.04982174688057,0,30.74223073437562,0.5
NLD,Netherlands,10370.58,8,17,33,79.63,8.460163652024118,14,44.83026349792825,57.5
NOR,Norway,9022.08,-26,18,27,79.63,-7.426247726813498,86,40.60794680827415,85
NPL,Nepal,15953.255000000001,-9,55,59,96.3,15.9421379535796,58,32.195340626200384,57
NZL,New Zealand,9699.01,-37,22,27,96.3,13.605052264808362,21,9.88039543226386,51
OMN,Oman,15686.085,-35,22,152,100,14.878057685286603,23,44.36157148655086,23
PAK,Pakistan,13116.155,-25,17,30,96.3,0,NA,21.780738349030887,23.5
PAN,Panama,14804.27,-49,7,39,93.52,30.897657450076803,6,69.7018742773574,6.5
PER,Peru,15216.385,-1,9,56,96.3,29.50059171597633,9,69.06661532729261,9
PHL,Philippines,15770.91,-6,45,52,100,24.398115275038354,45,59.438875207832254,44.5
PNG,Papua New Guinea,10029.06,-53,4,27,83.8,0,NA,10.186302625204377,47
POL,Poland,10641.005,-41,11,36,83.33,-9.322899159663864,100,47.99109937055709,88
PRT,Portugal,12926.824999999999,-36,17,38,87.96,16.09560723514212,10,32.811794905028314,10.5
PRY,Paraguay,14872.07,-45,5,32,94.44,0,NA,0,NA
PSE,West Bank and Gaza,15397.61,-12,0,17,96.3,NA,NA,NA,NA
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,Qatar,14375.15,-36,17,28,86.11,0,NA,19.932714738614024,91
REU,Reunion,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,Romania,11046.475,-30,15,34,87.04,-9.826781326781328,99,23.083253414126354,97
RUS,Russian Federation,13111.295,-1,45,59,87.04,NA,NA,NA,NA
RWA,Rwanda,13218.525,-53,7,7,90.74,0,NA,5.391591591591592,7
SAU,Saudi Arabia,13820.615,-32,13,55,94.44,0,NA,17.086839396271635,61.5
SDN,Sudan,13701.1,-45,3,77,91.67,NA,NA,NA,NA
SEN,Senegal,9859.869999999999,12,21,23,77.78,0,NA,8.660980392156862,15
SGP,Singapore,12263.795,-21,75,82,85.19,19.562925170068027,74,32.44190992327159,74
SLE,Sierra Leone,9288.585,-15,0,33,94.44,NA,NA,NA,NA
SLV,El Salvador,16415.77,-56,-3,49,100,24.620299379335524,-1,61.33722987011805,-1
SMR,San Marino,10388.685,-4,10,50,92.59,NA,NA,NA,NA
SOM,Somalia,7266.49,-2,5,26,60.19,NA,NA,NA,NA
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,Serbia,11199.615,-44,10,15,100,-10.584523809523809,63,21.41599047883387,61
SSD,South Sudan,13367.11,-41,-12,13,86.11,NA,NA,NA,NA
STP,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,Suriname,13595.61,-1,2,167,96.3,NA,NA,NA,NA
SVK,Slovak Republic,9791.34,-39,7,33,87.04,-9.304802955665023,91,44.93199829962052,91
SVN,Slovenia,9313.66,-1,11,25,89.81,-11.746312386340675,78,39.30497786366367,75.5
SWE,Sweden,6961.53,37,NA,63,46.3,0,NA,51.36583604980691,110
SWZ,Eswatini,13914.035,-45,3,20,89.81,NA,NA,NA,NA
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,Seychelles,7678.1,-45,16,26,93.52,NA,NA,NA,NA
SYR,Syrian Arab Republic,11821.375,-50,-2,26,86.11,NA,NA,NA,NA
TCA,Turks and Caicos Islands,11046.3,-18,-2,-2,79.63,NA,NA,NA,NA
TCD,Chad,11356.165,-12,25,25,88.89,NA,NA,NA,NA
TGO,Togo,10193.045,10,14,27,73.15,11.542857142857143,14,19.933971298693386,51.5
THA,Thailand,NA,NA,NA,NA,NA,-5.8435529462926725,157,11.43086501485409,156
TJK,Tajikistan,8871.145,-100,9,51,73.15,0,NA,23.154280086706407,-7
TLS,Timor-Leste,7589.815,-52,6,22,77.78,NA,NA,NA,NA
TTO,Trinidad and Tobago,12976.81,-44,7,44,90.74,0,NA,15.793656443667567,7.5
TUN,Tunisia,9629.885,0,16,18,90.74,NA,NA,NA,NA
TUR,Turkey,11627.995,-47,5,31,77.78,-13.268183665176757,81,30.2157121191612,81
TWN,Taiwan,5374.66,-20,NA,12,30.56,-1.5026294498381876,127,5.49709788936631,129
TZA,Tanzania,6171.95,-46,NA,27,50,-4.29371921182266,81,7.779750517347859,83
UGA,Uganda,14641.83,-61,4,9,93.52,0,NA,19.491246684350134,3
UKR,Ukraine,11677.16,0,13,15,88.89,-9.673321048321048,93,28.71749230354617,89
URY,Uruguay,8251.785,0,2,20,72.22,0,NA,21.384386446886445,0
USA,United States,12029.115,11,54,75,93.52,0,NA,21.970386904761902,53
UZB,Uzbekistan,13726.73,-54,1,44,96.3,NA,NA,NA,NA
VAT,Vatican,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",14435.905,-15,-1,100,87.04,16.657988165680475,1,33.239239120310394,1
VGB,British Virgin Islands,10760.845,-57,-3,151,79.63,NA,NA,NA,NA
VNM,Vietnam,13443.14,2,62,69,96.3,-6.027124390760755,100,14.123415106307526,100
XKX,Kosovo,10585.03,-8,7,20,76.85,NA,NA,NA,NA
YEM,"Yemen, Rep.",7563.61,-26,20,21,58.33,3.5570447858777383,-18,16.34932007609822,76
ZAF,South Africa,13783.55,-42,13,21,87.96,19.748379129360913,21,14.823801699998057,21
ZMB,Zambia,8531.705,-26,22,45,70.83,9.25432389937107,7,13.243957438421647,63.5
ZWE,Zimbabwe,13535.449999999999,-53,4,10,87.96,24.881410256410255,4,8.053074031231926,41.5
