ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,residential_change,residential_date_split,mobility_change_index,mobility_change_index_date_split
GHA,Ghana,3393.825,-50,3,16,85.85,19.11931818181818,15,36.94547869813114,15
GIB,Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,"Gambia, The",3870.8,-39,1,11,84.78,NA,NA,NA,NA
GNB,Guinea-Bissau,NA,NA,NA,NA,NA,0,NA,20.565113375124817,-3.5
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,Greece,4401.389999999999,-1,17,26,87.96,20.468818782098314,17,55.770858225902245,17
GRD,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,Greenland,3821.155,-14,2,33,83.73,NA,NA,NA,NA
GTM,Guatemala,5055.985,-53,2,35,97.35,25.75125448028674,2,58.8128706419029,2
GUF,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,Guyana,4103.8,-54,14,28,93.38,NA,NA,NA,NA
HND,Honduras,4747.74,-9,5,10,100,26.098924731182795,5,69.56006856786661,5
HRV,Croatia,4856.29,-29,24,27,97.35,18.21505376344086,20,54.53517396270557,21
HTI,Haiti,NA,NA,NA,NA,NA,7.4,1,26.13729063692478,0.5
HUN,Hungary,3949.54,-5,7,24,78.44,16.78550724637681,11,45.17238072067199,11
IDN,Indonesia,4256.91,-59,24,53,74.88,14.39675828047921,16,37.48116288752687,17.5
IMN,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,4775.4349999999995,-4,48,52,100,26.380555555555556,51,67.27166666666668,51
IRL,Ireland,4192.665,-25,15,37,91.8,23.69855072463768,15,52.974058115064636,15.5
IRN,"Iran, Islamic Rep.",3327.115,1,32,46,65.34,NA,NA,NA,NA
IRQ,Iraq,5464.455,-5,3,31,97.35,14.769886363636363,22,53.31338909864713,20
ISL,Iceland,3408.055,-36,17,21,56.61,NA,NA,NA,NA
ISR,Israel,5162.825,-25,21,47,96.03,24.40865737344094,22,61.00113701269746,23
ITA,Italy,6324.17,-8,23,72,94.58,25.16078431372549,39,69.2415069104565,39
JAM,Jamaica,4512.275,-40,2,47,85.31,18.444927536231887,4,44.60259019063969,3.5
JOR,Jordan,4507.65,0,15,15,100,24.56534090909091,14,71.1833336753508,14
JPN,Japan,3729.29,-8,54,79,53.3,9.19524200164069,83,18.124014360288392,83
KAZ,Kazakhstan,3727.08,-1,5,17,84.14,16.672903672903672,9,49.46992937884258,8
KEN,Kenya,4230.095,-53,2,44,93.66,20.689535689535692,9,39.86007195132195,8.5
KGZ,Kyrgyz Republic,4671.195,-56,-1,7,87.31,22.08801108801109,4,66.55166345520004,3.5
KHM,Cambodia,NA,NA,NA,NA,NA,9.659090909090908,50,30.23500599392689,50
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",5196.23,11,34,77,83.46,4.091097308488613,32,13.764379333628757,67
KWT,Kuwait,4903.495,-32,16,63,91.01,21.149275362318843,20,51.1561676860394,18
LAO,Lao PDR,3546.355,-13,6,6,97.35,13.295911295911296,0,41.00268629360093,2
LBN,Lebanon,4663.6849999999995,-8,24,26,89.41,15.856386999244144,20,53.91153391880721,20
LBR,Liberia,3269.9950000000003,-2,6,27,80.29,NA,NA,NA,NA
LBY,Libya,4059.915,-10,-8,24,100,14.356589147286822,-6,41.48711739487902,-6
LCA,St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA,0,NA,27.44419331069297,12
LKA,Sri Lanka,4759.9749999999995,-1,47,61,100,33.91884057971014,48,74.03330695337979,50.5
LTU,Lithuania,NA,NA,NA,NA,NA,15.565217391304348,16,47.73175230566535,16
LUX,Luxembourg,3974.3599999999997,5,15,17,82.27,27.518181818181816,15,62.0119792575779,15.5
LVA,Latvia,NA,NA,NA,NA,NA,11.902898550724638,13,32.95130305383023,13
MAF,St. Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,4156.66,2,18,23,93.38,NA,NA,NA,NA
MCO,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,4258.68,-13,3,16,90.74,16.89855072463768,7,52.91642680147,7
MDG,Madagascar,3580.005,-5,1,16,94.84,NA,NA,NA,NA
MDV,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,Mexico,3169.0750000000003,0,25,31,85.45,17.756063756063757,23,46.53773209711517,21.5
MKD,North Macedonia,NA,NA,NA,NA,NA,19.359501100513572,17,55.6018722598416,17
MLI,Mali,2925.365,-7,0,0,76.19,9.969444444444445,0,19.920729975344866,0
MLT,Malta,NA,NA,NA,NA,NA,22.51594202898551,8,57.770598477188464,7
MMR,Myanmar,4022.93,-81,-1,21,85.06,16.361672473867596,-1,44.84919860627178,-1
MNE,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,5939.65,-69,-43,26,67.99,-5.316526610644258,17,15.793122116222401,18.5
MOZ,Mozambique,2489.955,-40,6,10,53.83,13.210526315789474,1,24.68686933203457,1.5
MRT,Mauritania,3599.545,-38,5,15,80.95,NA,NA,NA,NA
MSR,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS,Mauritius,3564.9,0,2,31,91.4,30.068627450980394,1,82.0672268907563,1
MWI,Malawi,2461.805,-51,-10,16,56.61,NA,NA,NA,NA
MYS,Malaysia,4288.275,-9,53,53,71.03,34.05681818181818,52,68.74622093023255,52
MYT,Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,Namibia,3003.335,-13,3,34,75.79,20.215686274509803,13,48.06277105964337,13
NCL,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,Niger,2651.4449999999997,-7,0,8,61.51,12.697851697851698,4,24.167448960619694,2
NGA,Nigeria,4419.805,-58,29,60,81.5,24.23611111111111,26,49.83827006907652,26
NIC,Nicaragua,805.5050000000001,-27,NA,27,16.67,10.327731092436975,0,28.515911863430464,0.5
NLD,Netherlands,3972.0950000000003,8,17,33,84.65,14.388405797101449,17,39.42518022919686,17
NOR,Norway,4180.6449999999995,-26,15,27,79.63,14.08692365835223,15,39.706686941443245,15
NPL,Nepal,4737.304999999999,-24,57,59,95.24,22.86842105263158,58,72.01052631578948,58
NZL,New Zealand,4739.014999999999,-26,22,27,97.35,28.842105263157894,24,76.20135050029786,24
OMN,Oman,4890.575,-35,22,46,94.71,17.57152924594785,23,49.929777854764176,23
PAK,Pakistan,4841.19,-26,16,29,97.35,18.406098406098405,25,54.254516300004106,24
PAN,Panama,4205.59,-49,6,39,83.6,34.32954545454545,7,73.16340975440782,7
PER,Peru,4683.245,-1,8,12,96.03,36.584229390681,10,81.6303007635967,10
PHL,Philippines,5688.72,-6,45,48,97.22,30.590681003584226,46,69.93977965135223,46
PNG,Papua New Guinea,3646.68,-53,4,29,83.07,10.119318181818182,3,20.911936760350073,3
POL,Poland,4181.355,-41,10,36,88.09,16.378684807256235,8,49.26590257433623,8
PRT,Portugal,4495.52,-36,17,38,90.61,27.810144927536232,13,70.63105218287512,12
PRY,Paraguay,5095.655,-45,5,32,96.03,24.69390681003584,8,57.97319690646555,7
PSE,West Bank and Gaza,5192.735000000001,-12,0,54,97.35,NA,NA,NA,NA
PYF,French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA
QAT,Qatar,4802.17,-36,17,28,91.54,19.678136200716846,16,45.786707937678095,16.5
REU,Reunion,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROU,Romania,4674.87,-30,14,34,88.36,17.430434782608696,18,55.93197553855936,18
RUS,Russian Federation,4216.09,-1,48,59,92.86,NA,NA,NA,NA
RWA,Rwanda,5341.44,-53,2,7,100,27.241666666666667,7,57.42212635712635,7
SAU,Saudi Arabia,4766.785,-32,13,55,94.18,21.34108527131783,16,55.63987577076342,16
SDN,Sudan,4031.955,-45,3,31,84.26,NA,NA,NA,NA
SEN,Senegal,2967.185,12,18,21,66.67,15.125433125433124,20,35.309967044235336,18.5
SGP,Singapore,4532.685,-21,71,82,87.83,29.583333333333336,74,49.370770492837764,74
SLE,Sierra Leone,2876.23,-15,0,5,90.08,NA,NA,NA,NA
SLV,El Salvador,5193.585,-56,-3,33,96.03,29.24876673713883,-1,67.6063269296443,-0.5
SMR,San Marino,4940.08,-4,10,50,92.06,NA,NA,NA,NA
SOM,Somalia,2412.425,-2,5,26,59.39,NA,NA,NA,NA
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,Serbia,4863.57,-44,9,15,100,19.992831541218635,10,62.05452916259368,10.5
SSD,South Sudan,3653.745,-41,-16,7,90.74,NA,NA,NA,NA
STP,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,Suriname,3389.185,-1,2,23,83.07,NA,NA,NA,NA
SVK,Slovak Republic,4345.85,-39,6,33,90.74,15.572940287226002,6,43.15991596279826,6
SVN,Slovenia,4169.01,-1,11,25,91.93,19.692753623188405,10,55.64442242597522,8
SWE,Sweden,1929.375,38,NA,84,47.35,8.153623188405797,44,29.359469239738978,44
SWZ,Eswatini,3463.46,-14,13,13,81.48,NA,NA,NA,NA
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,Seychelles,4198.845,-73,16,26,94.58,NA,NA,NA,NA
SYR,Syrian Arab Republic,3835.625,-50,-2,10,84.13,NA,NA,NA,NA
TCA,Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,Chad,2447.1150000000002,-12,25,25,88.23,NA,NA,NA,NA
TGO,Togo,NA,NA,NA,NA,NA,15.56111111111111,15,26.091077616077616,15
THA,Thailand,3491.04,52,67,85,83.21,13.440748440748441,68,35.51915062744331,67
TLS,Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,4081.67,-44,3,45,93.38,20.59659090909091,3,62.7013138024766,3.5
TUN,Tunisia,4265.445,0,14,17,90.61,NA,NA,NA,NA
TUR,Turkey,4301.47,-47,5,17,80.42,21.775568181818183,6,59.123222140762465,6
TWN,Taiwan,2888.56,-19,NA,58,32.01,0,NA,2.7704543017957652,53.5
TZA,Tanzania,1983.96,-2,27,27,50.4,8.246794871794872,21,18.637896217539076,22.5
UGA,Uganda,4399.675,-61,4,9,92.59,27.925,4,57.02706761330286,4
UKR,Ukraine,4460.42,0,9,15,92.06,NA,NA,NA,NA
URY,Uruguay,3359.07,0,1,20,76.98,17.937637564196624,1,50.615991763642285,0.5
USA,United States,3581.9049999999997,11,54,77,71.58,17.166308243727595,54,40.17809584048673,54
UZB,Uzbekistan,4626.85,-54,1,44,94.58,NA,NA,NA,NA
VAT,Vatican,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",4167.14,-15,-1,4,84.26,19.973913043478262,1,59.2492286115007,1
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,Vietnam,5467.84,2,62,69,97.35,9.674564459930313,63,29.380470269408576,63
XKX,Kosovo,4571.755,-18,-13,-2,94.71,NA,NA,NA,NA
YEM,"Yemen, Rep.",NA,NA,NA,NA,NA,3.186062717770035,-21,12.126876796913914,-20
ZAF,South Africa,4067.3700000000003,-42,13,21,91.4,31.29268292682927,21,64.91818815331011,21
ZMB,Zambia,2602.155,-26,22,28,62.45,9.4404181184669,8,15.65181818854151,8
ZWE,Zimbabwe,3950.915,-53,3,10,91.4,35.74715909090909,9,62.956818181818186,9
